Customer_ID,Recency,Frequency,Monetary,Average_Purchase_Value,Lifetime_Value_Proxy,Cluster,Customer_Type
C10116,3,10,20640.58,2064.058,20640.58,3,Potential / Growing
C10117,7,9,15522.89,1724.7655555555555,15522.89,0,Potential / Growing
C10118,4,16,28434.09,1777.130625,28434.09,1,Champions / High Value
C10119,25,13,26112.57,2008.6592307692308,26112.57,3,Potential / Growing
C10120,12,9,22460.09,2495.5655555555554,22460.09,3,Potential / Growing
C10121,3,14,30118.38,2151.3128571428574,30118.38,1,Champions / High Value
C10122,11,8,20268.96,2533.62,20268.96,0,Potential / Growing
C10123,6,7,24915.02,3559.2885714285717,24915.02,0,Potential / Growing
C10124,1,10,27654.039999999997,2765.4039999999995,27654.039999999997,3,Potential / Growing
C10125,40,10,13639.730000000001,1363.9730000000002,13639.730000000001,2,At-Risk / Low Value
C10126,4,6,13485.61,2247.601666666667,13485.61,0,Potential / Growing
C10127,17,9,18359.7,2039.9666666666667,18359.7,0,Potential / Growing
C10128,46,8,13375.72,1671.965,13375.72,2,At-Risk / Low Value
C10129,2,13,26710.16,2054.627692307692,26710.16,1,Champions / High Value
C10130,15,5,7461.97,1492.394,7461.97,0,Potential / Growing
C10131,2,9,18618.13,2068.681111111111,18618.13,0,Potential / Growing
C10132,1,6,11912.22,1985.37,11912.22,0,Potential / Growing
C10133,2,10,29708.120000000003,2970.8120000000004,29708.120000000003,3,Potential / Growing
C10134,5,12,33187.07,2765.5891666666666,33187.07,1,Champions / High Value
C10135,2,11,18732.25,1702.9318181818182,18732.25,3,Potential / Growing
C10136,15,11,22716.170000000002,2065.1063636363638,22716.170000000002,3,Potential / Growing
C10137,11,6,11777.29,1962.881666666667,11777.29,0,Potential / Growing
C10138,44,7,8907.53,1272.5042857142857,8907.53,2,At-Risk / Low Value
C10139,1,9,25686.25,2854.027777777778,25686.25,3,Potential / Growing
C10140,93,8,11446.36,1430.795,11446.36,2,At-Risk / Low Value
C10141,3,13,28628.79,2202.2146153846156,28628.79,1,Champions / High Value
C10142,10,7,19749.899999999998,2821.4142857142856,19749.899999999998,0,Potential / Growing
C10143,16,11,27468.97,2497.179090909091,27468.97,3,Potential / Growing
C10144,6,16,38253.61,2390.850625,38253.61,1,Champions / High Value
C10145,25,5,9439.91,1887.982,9439.91,0,Potential / Growing
C10146,1,16,26596.670000000002,1662.2918750000001,26596.670000000002,1,Champions / High Value
C10147,1,14,28753.77,2053.8407142857145,28753.77,1,Champions / High Value
C10148,1,13,26727.09,2055.93,26727.09,1,Champions / High Value
C10149,1,13,26343.39,2026.4146153846154,26343.39,1,Champions / High Value
C10150,26,5,17968.550000000003,3593.7100000000005,17968.550000000003,0,Potential / Growing
C10151,18,8,16250.37,2031.29625,16250.37,0,Potential / Growing
C10152,13,12,25740.06,2145.005,25740.06,3,Potential / Growing
C10153,23,10,8954.27,895.427,8954.27,0,Potential / Growing
C10154,1,12,16326.19,1360.5158333333334,16326.19,3,Potential / Growing
C10155,11,9,26103.850000000002,2900.427777777778,26103.850000000002,3,Potential / Growing
C10156,30,10,21604.29,2160.429,21604.29,3,Potential / Growing
C10157,1,9,13267.65,1474.1833333333334,13267.65,0,Potential / Growing
C10158,15,13,34874.36,2682.643076923077,34874.36,1,Champions / High Value
C10159,29,9,13028.49,1447.61,13028.49,2,At-Risk / Low Value
C10160,6,5,20625.18,4125.036,20625.18,0,Potential / Growing
C10161,10,8,19159.68,2394.96,19159.68,0,Potential / Growing
C10162,5,11,30665.5,2787.7727272727275,30665.5,3,Potential / Growing
C10163,8,8,10387.33,1298.41625,10387.33,0,Potential / Growing
C10164,26,9,13356.060000000001,1484.006666666667,13356.060000000001,0,Potential / Growing
C10165,7,9,23454.53,2606.0588888888888,23454.53,3,Potential / Growing
C10166,22,13,15501.57,1192.4284615384615,15501.57,3,Potential / Growing
C10167,31,5,12575.97,2515.194,12575.97,2,At-Risk / Low Value
C10168,18,10,24414.47,2441.447,24414.47,3,Potential / Growing
C10169,4,9,17583.41,1953.7122222222222,17583.41,0,Potential / Growing
C10170,1,13,17862.38,1374.029230769231,17862.38,3,Potential / Growing
C10171,21,11,23273.81,2115.800909090909,23273.81,3,Potential / Growing
C10172,7,13,25171.02,1936.2323076923078,25171.02,3,Potential / Growing
C10173,3,16,40368.25,2523.015625,40368.25,1,Champions / High Value
C10174,19,10,20780.47,2078.047,20780.47,3,Potential / Growing
C10175,54,5,10431.36,2086.272,10431.36,2,At-Risk / Low Value
C10176,21,8,11169.75,1396.21875,11169.75,0,Potential / Growing
C10177,4,12,29461.4,2455.116666666667,29461.4,1,Champions / High Value
C10178,6,7,16095.48,2299.3542857142857,16095.48,0,Potential / Growing
C10179,1,14,29538.02,2109.8585714285714,29538.02,1,Champions / High Value
C10180,34,13,30763.04,2366.3876923076923,30763.04,1,Champions / High Value
C10181,28,13,41201.869999999995,3169.374615384615,41201.869999999995,1,Champions / High Value
C10182,9,7,11656.89,1665.27,11656.89,0,Potential / Growing
C10183,9,10,14276.92,1427.692,14276.92,0,Potential / Growing
C10184,5,14,22848.54,1632.0385714285715,22848.54,3,Potential / Growing
C10185,9,9,20637.37,2293.041111111111,20637.37,3,Potential / Growing
C10186,1,9,35668.93,3963.2144444444443,35668.93,3,Potential / Growing
C10187,17,8,26696.93,3337.11625,26696.93,3,Potential / Growing
C10188,12,13,16580.29,1275.4069230769232,16580.29,3,Potential / Growing
C10189,8,11,24164.219999999998,2196.7472727272725,24164.219999999998,3,Potential / Growing
C10190,36,9,18327.81,2036.4233333333334,18327.81,2,At-Risk / Low Value
C10191,30,8,13293.52,1661.69,13293.52,2,At-Risk / Low Value
C10192,8,18,29591.64,1643.98,29591.64,1,Champions / High Value
C10193,4,8,12978.400000000001,1622.3000000000002,12978.400000000001,0,Potential / Growing
C10194,5,9,15665.14,1740.5711111111111,15665.14,0,Potential / Growing
C10195,33,12,24928.420000000002,2077.3683333333333,24928.420000000002,3,Potential / Growing
C10196,16,9,21615.73,2401.7477777777776,21615.73,3,Potential / Growing
C10197,5,12,33441.32,2786.7766666666666,33441.32,1,Champions / High Value
C10198,1,15,23099.53,1539.9686666666666,23099.53,1,Champions / High Value
C10199,46,5,17621.45,3524.29,17621.45,2,At-Risk / Low Value
C10200,8,12,23014.52,1917.8766666666668,23014.52,3,Potential / Growing
C10201,4,9,21308.78,2367.6422222222222,21308.78,3,Potential / Growing
C10202,14,11,29324.99,2665.908181818182,29324.99,3,Potential / Growing
C10203,7,16,27388.440000000002,1711.7775000000001,27388.440000000002,1,Champions / High Value
C10204,51,7,24487.290000000005,3498.1842857142865,24487.290000000005,2,At-Risk / Low Value
C10205,9,16,23893.99,1493.374375,23893.99,1,Champions / High Value
C10206,17,10,22133.02,2213.302,22133.02,3,Potential / Growing
C10207,5,7,16190.93,2312.9900000000002,16190.93,0,Potential / Growing
C10208,34,11,22210.19,2019.1081818181817,22210.19,3,Potential / Growing
C10209,23,7,9683.06,1383.2942857142857,9683.06,0,Potential / Growing
C10210,22,10,30827.420000000002,3082.742,30827.420000000002,3,Potential / Growing
C10211,18,11,31235.27,2839.57,31235.27,3,Potential / Growing
C10212,52,5,8685.960000000001,1737.1920000000002,8685.960000000001,2,At-Risk / Low Value
C10213,42,5,5443.05,1088.6100000000001,5443.05,2,At-Risk / Low Value
C10214,14,3,16089.96,5363.32,16089.96,0,Potential / Growing
C10215,6,11,25836.260000000002,2348.7509090909093,25836.260000000002,3,Potential / Growing
C10216,1,12,31405.059999999998,2617.088333333333,31405.059999999998,1,Champions / High Value
C10217,24,6,8756.77,1459.4616666666668,8756.77,0,Potential / Growing
C10218,17,8,8336.56,1042.07,8336.56,0,Potential / Growing
C10219,5,13,34040.02,2618.4630769230766,34040.02,1,Champions / High Value
C10220,57,5,9718.09,1943.618,9718.09,2,At-Risk / Low Value
C10221,14,13,29677.670000000002,2282.8976923076925,29677.670000000002,1,Champions / High Value
C10222,23,13,16977.65,1305.973076923077,16977.65,3,Potential / Growing
C10223,37,7,8576.039999999999,1225.1485714285714,8576.039999999999,2,At-Risk / Low Value
C10224,20,9,17407.88,1934.208888888889,17407.88,0,Potential / Growing
C10225,34,6,8036.7,1339.45,8036.7,2,At-Risk / Low Value
C10226,18,12,20519.85,1709.9875,20519.85,3,Potential / Growing
C10227,19,11,21485.79,1953.2536363636364,21485.79,3,Potential / Growing
C10228,9,9,11378.75,1264.3055555555557,11378.75,0,Potential / Growing
C10229,18,7,17189.46,2455.637142857143,17189.46,0,Potential / Growing
C10230,17,12,24087.579999999998,2007.2983333333332,24087.579999999998,3,Potential / Growing
C10231,7,7,17408.07,2486.867142857143,17408.07,0,Potential / Growing
C10232,32,7,18266.0,2609.4285714285716,18266.0,2,At-Risk / Low Value
C10233,2,9,22365.989999999998,2485.1099999999997,22365.989999999998,3,Potential / Growing
C10234,19,7,20296.89,2899.555714285714,20296.89,0,Potential / Growing
C10235,15,14,20876.780000000002,1491.1985714285715,20876.780000000002,3,Potential / Growing
C10236,3,14,36962.11,2640.1507142857145,36962.11,1,Champions / High Value
C10237,29,10,22556.81,2255.681,22556.81,3,Potential / Growing
C10238,39,7,12727.1,1818.1571428571428,12727.1,2,At-Risk / Low Value
C10239,2,8,12387.04,1548.38,12387.04,0,Potential / Growing
C10240,26,11,24325.13,2211.3754545454544,24325.13,3,Potential / Growing
C10241,2,15,23656.579999999998,1577.1053333333332,23656.579999999998,1,Champions / High Value
C10242,23,9,22803.420000000002,2533.7133333333336,22803.420000000002,3,Potential / Growing
C10243,35,2,4828.78,2414.39,4828.78,2,At-Risk / Low Value
C10244,6,12,21956.28,1829.6899999999998,21956.28,3,Potential / Growing
C10245,7,13,20621.95,1586.3038461538463,20621.95,3,Potential / Growing
C10246,13,11,22338.980000000003,2030.816363636364,22338.980000000003,3,Potential / Growing
C10247,1,11,25646.54,2331.5036363636364,25646.54,3,Potential / Growing
C10248,3,16,24763.91,1547.744375,24763.91,1,Champions / High Value
C10249,8,12,39867.61,3322.3008333333332,39867.61,1,Champions / High Value
C10250,7,12,20778.66,1731.555,20778.66,3,Potential / Growing
C10251,7,11,36789.73,3344.5209090909093,36789.73,1,Champions / High Value
C10252,18,9,29563.08,3284.786666666667,29563.08,3,Potential / Growing
C10253,5,8,14494.3,1811.7875,14494.3,0,Potential / Growing
C10254,3,10,34356.55,3435.655,34356.55,1,Champions / High Value
C10255,40,8,21104.05,2638.00625,21104.05,2,At-Risk / Low Value
C10256,1,6,18836.91,3139.485,18836.91,0,Potential / Growing
C10257,24,8,15707.94,1963.4925,15707.94,0,Potential / Growing
C10258,17,10,14204.23,1420.423,14204.23,0,Potential / Growing
C10259,15,10,21393.87,2139.3869999999997,21393.87,3,Potential / Growing
C10260,8,16,33302.21,2081.388125,33302.21,1,Champions / High Value
C10261,5,8,14879.55,1859.94375,14879.55,0,Potential / Growing
C10262,23,14,19619.86,1401.4185714285716,19619.86,3,Potential / Growing
C10263,4,10,27114.36,2711.436,27114.36,3,Potential / Growing
C10264,47,8,20984.570000000003,2623.0712500000004,20984.570000000003,2,At-Risk / Low Value
C10265,16,7,24385.99,3483.7128571428575,24385.99,0,Potential / Growing
C10266,18,10,23466.18,2346.618,23466.18,3,Potential / Growing
C10267,8,16,38116.46,2382.27875,38116.46,1,Champions / High Value
C10268,11,12,30117.09,2509.7575,30117.09,1,Champions / High Value
C10269,6,13,31087.61,2391.3546153846155,31087.61,1,Champions / High Value
C10270,13,12,30493.399999999998,2541.1166666666663,30493.399999999998,1,Champions / High Value
C10271,2,13,26283.77,2021.8284615384616,26283.77,1,Champions / High Value
C10272,11,12,35608.270000000004,2967.3558333333335,35608.270000000004,1,Champions / High Value
C10273,2,13,26230.92,2017.7630769230768,26230.92,1,Champions / High Value
C10274,45,6,11067.2,1844.5333333333335,11067.2,2,At-Risk / Low Value
C10275,7,9,16188.72,1798.7466666666667,16188.72,0,Potential / Growing
C10276,4,10,22045.84,2204.584,22045.84,3,Potential / Growing
C10277,18,14,35035.27,2502.5192857142856,35035.27,1,Champions / High Value
C10278,3,12,22158.12,1846.51,22158.12,3,Potential / Growing
C10279,98,5,6042.64,1208.528,6042.64,2,At-Risk / Low Value
C10280,12,14,17261.719999999998,1232.9799999999998,17261.719999999998,3,Potential / Growing
C10281,27,17,36319.22,2136.424705882353,36319.22,1,Champions / High Value
C10282,50,8,10034.76,1254.345,10034.76,2,At-Risk / Low Value
C10283,7,10,22707.35,2270.7349999999997,22707.35,3,Potential / Growing
C10284,10,10,13984.93,1398.493,13984.93,0,Potential / Growing
C10285,16,15,34817.97,2321.198,34817.97,1,Champions / High Value
C10286,16,11,32594.3,2963.1181818181817,32594.3,1,Champions / High Value
C10287,9,9,14922.19,1658.0211111111112,14922.19,0,Potential / Growing
C10288,10,8,14171.380000000001,1771.4225000000001,14171.380000000001,0,Potential / Growing
C10289,1,11,17041.36,1549.2145454545455,17041.36,3,Potential / Growing
C10291,7,5,17343.07,3468.614,17343.07,0,Potential / Growing
C10292,46,4,5301.87,1325.4675,5301.87,2,At-Risk / Low Value
C10293,7,10,21601.0,2160.1,21601.0,3,Potential / Growing
C10294,47,8,20182.26,2522.7825,20182.26,2,At-Risk / Low Value
C10295,24,12,25390.0,2115.8333333333335,25390.0,3,Potential / Growing
C10296,3,13,32414.989999999998,2493.460769230769,32414.989999999998,1,Champions / High Value
C10297,10,11,28040.65,2549.15,28040.65,3,Potential / Growing
C10298,19,12,30896.329999999998,2574.6941666666667,30896.329999999998,1,Champions / High Value
C10299,2,9,9781.4,1086.822222222222,9781.4,0,Potential / Growing
C10300,4,8,9061.07,1132.63375,9061.07,0,Potential / Growing
C10301,22,12,28278.56,2356.5466666666666,28278.56,3,Potential / Growing
C10302,6,11,29130.27,2648.2063636363637,29130.27,3,Potential / Growing
C10303,20,15,30720.55,2048.0366666666664,30720.55,1,Champions / High Value
C10304,19,11,25070.07,2279.097272727273,25070.07,3,Potential / Growing
C10305,3,9,22577.06,2508.5622222222223,22577.06,3,Potential / Growing
C10306,16,3,4689.61,1563.2033333333331,4689.61,0,Potential / Growing
C10307,20,9,13374.64,1486.0711111111111,13374.64,0,Potential / Growing
C10308,40,9,23538.219999999998,2615.3577777777773,23538.219999999998,2,At-Risk / Low Value
C10309,47,12,23194.87,1932.9058333333332,23194.87,2,At-Risk / Low Value
C10310,2,9,13305.24,1478.36,13305.24,0,Potential / Growing
C10311,2,11,25321.35,2301.940909090909,25321.35,3,Potential / Growing
C10312,6,13,34378.41,2644.4930769230773,34378.41,1,Champions / High Value
C10313,8,18,34179.39,1898.855,34179.39,1,Champions / High Value
C10314,2,8,13955.92,1744.49,13955.92,0,Potential / Growing
C10315,10,16,29102.82,1818.92625,29102.82,1,Champions / High Value
C10316,2,12,39825.72,3318.81,39825.72,1,Champions / High Value
C10317,4,10,29672.309999999998,2967.2309999999998,29672.309999999998,3,Potential / Growing
C10318,5,15,25612.41,1707.494,25612.41,1,Champions / High Value
C10319,5,16,30913.73,1932.108125,30913.73,1,Champions / High Value
C10320,15,12,27675.95,2306.329166666667,27675.95,3,Potential / Growing
C10321,5,8,19412.29,2426.53625,19412.29,0,Potential / Growing
C10322,4,9,14662.84,1629.2044444444446,14662.84,0,Potential / Growing
C10323,7,15,41576.23,2771.748666666667,41576.23,1,Champions / High Value
C10324,14,8,19617.85,2452.23125,19617.85,0,Potential / Growing
C10325,8,11,28926.57,2629.688181818182,28926.57,3,Potential / Growing
C10326,15,12,22646.2,1887.1833333333334,22646.2,3,Potential / Growing
C10327,3,10,11986.26,1198.626,11986.26,0,Potential / Growing
C10328,10,11,32179.670000000002,2925.4245454545458,32179.670000000002,1,Champions / High Value
C10329,12,9,18715.239999999998,2079.471111111111,18715.239999999998,0,Potential / Growing
C10330,2,7,19533.48,2790.497142857143,19533.48,0,Potential / Growing
C10331,3,10,13971.970000000001,1397.1970000000001,13971.970000000001,0,Potential / Growing
C10332,5,15,32835.51,2189.034,32835.51,1,Champions / High Value
C10333,7,13,35584.36,2737.2584615384617,35584.36,1,Champions / High Value
C10334,11,8,17449.46,2181.1825,17449.46,0,Potential / Growing
C10335,9,8,11246.59,1405.82375,11246.59,0,Potential / Growing
C10336,10,8,12449.83,1556.22875,12449.83,0,Potential / Growing
C10337,13,13,29819.03,2293.7715384615385,29819.03,1,Champions / High Value
C10338,41,8,11775.73,1471.96625,11775.73,2,At-Risk / Low Value
C10339,1,10,22802.75,2280.275,22802.75,3,Potential / Growing
C10340,8,13,27538.81,2118.37,27538.81,1,Champions / High Value
C10341,23,9,9877.880000000001,1097.5422222222223,9877.880000000001,0,Potential / Growing
C10342,19,8,14040.67,1755.08375,14040.67,0,Potential / Growing
C10343,5,10,29054.050000000003,2905.405,29054.050000000003,3,Potential / Growing
C10344,53,10,18033.97,1803.3970000000002,18033.97,2,At-Risk / Low Value
C10345,39,5,8901.220000000001,1780.2440000000001,8901.220000000001,2,At-Risk / Low Value
C10346,7,7,15795.9,2256.557142857143,15795.9,0,Potential / Growing
C10347,3,9,14523.4,1613.711111111111,14523.4,0,Potential / Growing
C10348,10,9,20716.24,2301.8044444444445,20716.24,3,Potential / Growing
C10349,10,11,29079.32,2643.5745454545454,29079.32,3,Potential / Growing
C10350,8,9,17341.64,1926.8488888888887,17341.64,0,Potential / Growing
C10351,33,7,14347.199999999999,2049.6,14347.199999999999,2,At-Risk / Low Value
C10352,2,15,37223.31,2481.5539999999996,37223.31,1,Champions / High Value
C10353,3,12,26692.18,2224.3483333333334,26692.18,3,Potential / Growing
C10354,15,10,14882.289999999999,1488.2289999999998,14882.289999999999,0,Potential / Growing
C10355,13,7,22327.800000000003,3189.6857142857148,22327.800000000003,0,Potential / Growing
C10356,38,10,16177.5,1617.75,16177.5,2,At-Risk / Low Value
C10357,37,6,10758.52,1793.0866666666668,10758.52,2,At-Risk / Low Value
C10358,33,12,19817.67,1651.4724999999999,19817.67,3,Potential / Growing
C10359,3,9,22157.14,2461.9044444444444,22157.14,3,Potential / Growing
C10360,29,7,22244.4,3177.7714285714287,22244.4,2,At-Risk / Low Value
C10361,8,9,20377.35,2264.1499999999996,20377.35,3,Potential / Growing
C10362,7,10,18283.85,1828.3849999999998,18283.85,3,Potential / Growing
C10363,2,12,35919.59,2993.299166666666,35919.59,1,Champions / High Value
C10364,15,7,14192.95,2027.564285714286,14192.95,0,Potential / Growing
C10365,40,7,18305.92,2615.1314285714284,18305.92,2,At-Risk / Low Value
C10366,12,15,37366.82,2491.1213333333335,37366.82,1,Champions / High Value
C10367,10,10,18527.75,1852.775,18527.75,3,Potential / Growing
C10368,20,15,32046.0,2136.4,32046.0,1,Champions / High Value
C10369,9,12,25436.820000000003,2119.735,25436.820000000003,3,Potential / Growing
C10370,6,9,44450.08,4938.897777777778,44450.08,1,Champions / High Value
C10371,1,12,30738.53,2561.5441666666666,30738.53,1,Champions / High Value
C10372,33,8,7691.53,961.44125,7691.53,2,At-Risk / Low Value
C10373,50,9,11648.67,1294.2966666666666,11648.67,2,At-Risk / Low Value
C10374,7,5,15388.74,3077.748,15388.74,0,Potential / Growing
