Customer_ID,Purchase_Date,Quantity,Unit_Price,Total_Amount,Product_Category
C10401,2024-11-16,15,1416.19,21242.850000000002,Home Care
C10392,2024-10-14,5,636.74,3183.7,Snacks
C10282,2024-10-06,3,562.33,1686.9900000000002,Beverages
C10513,2024-10-18,2,409.31,818.62,Personal Care
C10339,2024-10-07,2,531.47,1062.94,Home Care
C10047,2024-12-29,5,778.06,3890.2999999999997,Snacks
C10458,2024-07-17,3,266.22,798.6600000000001,Home Care
C10344,2024-11-08,3,394.92,1184.76,Beverages
C10380,2024-11-23,10,1320.7,13207.0,Personal Care
C10339,2024-12-30,6,814.75,4888.5,Home Care
C10332,2024-11-21,1,335.71,335.71,Home Care
C10054,2024-11-28,5,712.9,3564.5,Beverages
C10335,2024-11-24,1,385.6,385.6,Beverages
C10476,2024-07-26,5,341.94,1709.7,Personal Care
C10182,2024-09-21,2,369.76,739.52,Home Care
C10361,2024-09-23,5,310.96,1554.8,Grocery
C10018,2024-10-05,5,1147.95,5739.75,Personal Care
C10208,2024-10-01,4,654.88,2619.52,Grocery
C10262,2024-08-10,4,338.41,1353.64,Snacks
C10589,2024-08-12,3,575.94,1727.8200000000002,Snacks
C10128,2024-11-11,3,385.69,1157.07,Beverages
C10165,2024-09-16,3,767.26,2301.7799999999997,Snacks
C10245,2024-09-01,3,344.31,1032.93,Grocery
C10595,2024-09-24,3,916.27,2748.81,Home Care
C10512,2024-12-23,2,1445.31,2890.62,Home Care
C10020,2024-11-10,4,231.83,927.32,Personal Care
C10140,2024-07-09,4,324.47,1297.88,Snacks
C10493,2024-05-24,5,515.91,2579.5499999999997,Snacks
C10034,2024-12-07,1,325.61,325.61,Grocery
C10513,2024-08-23,3,426.8,1280.4,Beverages
C10168,2024-09-17,6,647.35,3884.1000000000004,Snacks
C10550,2024-12-10,4,545.2,2180.8,Snacks
C10176,2024-12-10,6,957.6,5745.6,Personal Care
C10260,2024-12-22,2,996.07,1992.14,Beverages
C10397,2024-11-13,3,285.13,855.39,Grocery
C10075,2024-08-04,1,241.7,241.7,Personal Care
C10334,2024-12-20,4,1098.7,4394.8,Snacks
C10303,2024-12-11,7,1078.76,7551.32,Grocery
C10470,2024-11-04,2,253.05,506.1,Personal Care
C10597,2024-12-18,2,260.15,520.3,Beverages
C10398,2024-12-22,4,1308.95,5235.8,Personal Care
C10245,2024-07-10,1,271.51,271.51,Beverages
C10243,2024-09-05,3,162.82,488.46,Beverages
C10250,2024-12-19,1,222.12,222.12,Beverages
C10488,2024-11-02,5,942.24,4711.2,Grocery
C10192,2024-09-06,2,266.17,532.34,Personal Care
C10100,2024-08-24,2,311.94,623.88,Snacks
C10200,2024-11-17,2,324.69,649.38,Snacks
C10013,2024-09-12,1,375.85,375.85,Beverages
C10063,2024-07-11,3,421.07,1263.21,Snacks
C10054,2024-11-12,2,394.37,788.74,Snacks
C10462,2024-11-22,11,1049.43,11543.730000000001,Beverages
C10433,2024-09-24,4,495.99,1983.96,Snacks
C10418,2024-12-04,5,499.3,2496.5,Snacks
C10277,2024-05-07,5,454.49,2272.45,Home Care
C10430,2024-10-13,6,735.1,4410.6,Home Care
C10096,2024-10-01,3,474.62,1423.8600000000001,Home Care
C10540,2024-11-08,2,659.1,1318.2,Grocery
C10300,2024-10-14,3,770.39,2311.17,Personal Care
C10562,2024-10-29,4,430.97,1723.88,Home Care
C10091,2024-12-17,1,330.34,330.34,Home Care
C10298,2024-10-15,2,589.52,1179.04,Home Care
C10417,2024-10-21,6,757.86,4547.16,Snacks
C10297,2024-07-24,5,427.4,2137.0,Snacks
C10267,2024-09-30,5,545.64,2728.2,Grocery
C10099,2024-12-28,10,995.6,9956.0,Personal Care
C10228,2024-11-10,2,694.98,1389.96,Personal Care
C10143,2024-11-20,4,482.3,1929.2,Personal Care
C10180,2024-11-15,2,613.34,1226.68,Home Care
C10410,2024-10-06,4,814.15,3256.6,Beverages
C10378,2024-09-18,2,297.83,595.66,Beverages
C10364,2024-11-04,2,284.07,568.14,Personal Care
C10217,2024-11-13,2,674.83,1349.66,Beverages
C10575,2024-10-25,7,877.23,6140.610000000001,Home Care
C10052,2024-09-04,5,629.39,3146.95,Home Care
C10205,2024-10-26,1,506.16,506.16,Grocery
C10070,2024-12-22,3,830.83,2492.4900000000002,Grocery
C10203,2024-09-01,2,363.68,727.36,Grocery
C10577,2024-11-29,1,412.06,412.06,Home Care
C10219,2024-09-25,4,394.68,1578.72,Beverages
C10545,2024-10-11,3,427.97,1283.91,Beverages
C10297,2024-11-30,3,540.0,1620.0,Personal Care
C10419,2024-08-30,1,430.81,430.81,Snacks
C10274,2024-08-25,1,271.82,271.82,Grocery
C10159,2024-09-14,2,265.78,531.56,Beverages
C10458,2024-10-04,3,374.43,1123.29,Snacks
C10581,2024-09-08,5,509.43,2547.15,Snacks
C10158,2024-07-22,3,645.45,1936.3500000000001,Home Care
C10467,2024-08-09,1,305.22,305.22,Personal Care
C10156,2024-11-01,3,486.94,1460.82,Grocery
C10430,2024-07-12,4,268.06,1072.24,Beverages
C10473,2024-10-31,9,765.59,6890.31,Home Care
C10269,2024-09-03,3,358.3,1074.9,Grocery
C10442,2024-09-03,3,641.18,1923.54,Snacks
C10163,2024-12-18,3,749.17,2247.5099999999998,Grocery
C10047,2024-09-24,5,570.54,2852.7,Snacks
C10057,2024-08-20,3,500.88,1502.6399999999999,Grocery
C10268,2024-11-08,6,680.79,4084.74,Home Care
C10541,2024-11-24,7,827.66,5793.62,Snacks
C10076,2024-12-03,2,593.06,1186.12,Personal Care
C10273,2024-07-19,2,462.62,925.24,Grocery
C10422,2024-05-05,1,520.43,520.43,Personal Care
C10121,2024-12-28,3,520.61,1561.83,Snacks
C10432,2024-07-05,6,299.81,1798.8600000000001,Snacks
C10183,2024-12-22,2,406.16,812.32,Home Care
C10485,2024-11-14,9,1216.94,10952.460000000001,Home Care
C10347,2024-09-16,2,442.64,885.28,Personal Care
C10328,2024-10-05,3,995.06,2985.18,Personal Care
C10106,2024-12-19,3,760.39,2281.17,Beverages
C10277,2024-12-13,4,970.77,3883.08,Beverages
C10513,2024-09-17,4,280.74,1122.96,Personal Care
C10011,2024-08-31,2,329.09,658.18,Personal Care
C10455,2024-06-09,1,455.66,455.66,Personal Care
C10295,2024-10-15,5,1034.67,5173.35,Personal Care
C10431,2024-11-20,2,504.35,1008.7,Home Care
C10397,2024-11-09,1,345.79,345.79,Personal Care
C10259,2024-11-06,2,292.73,585.46,Home Care
C10185,2024-12-05,1,359.32,359.32,Personal Care
C10376,2024-11-18,4,496.95,1987.8,Snacks
C10084,2024-11-28,4,724.25,2897.0,Personal Care
C10350,2024-09-23,2,612.18,1224.36,Grocery
C10056,2024-10-24,3,557.0,1671.0,Personal Care
C10389,2024-09-06,4,465.67,1862.68,Personal Care
C10377,2024-11-23,3,314.17,942.51,Home Care
C10050,2024-07-10,1,320.42,320.42,Personal Care
C10454,2024-09-10,5,817.78,4088.8999999999996,Snacks
C10249,2024-11-02,5,678.82,3394.1000000000004,Beverages
C10472,2024-10-23,3,547.48,1642.44,Grocery
C10024,2024-12-10,5,364.59,1822.9499999999998,Grocery
C10107,2024-10-12,3,370.02,1110.06,Personal Care
C10296,2024-12-28,3,625.51,1876.53,Grocery
C10112,2024-09-29,3,614.68,1844.04,Beverages
C10197,2024-08-10,1,642.83,642.83,Snacks
C10396,2024-07-08,2,336.81,673.62,Beverages
C10086,2024-11-17,4,411.23,1644.92,Personal Care
C10406,2024-07-14,3,517.07,1551.21,Grocery
C10062,2024-11-23,3,784.61,2353.83,Grocery
C10105,2024-10-21,2,584.79,1169.58,Beverages
C10352,2024-12-29,7,730.57,5113.990000000001,Home Care
C10476,2024-09-17,1,640.04,640.04,Beverages
C10102,2024-10-07,3,558.99,1676.97,Personal Care
C10179,2024-12-18,5,986.66,4933.3,Grocery
C10555,2024-12-26,4,1088.27,4353.08,Beverages
C10593,2024-07-25,3,588.68,1766.04,Home Care
C10348,2024-11-15,8,505.91,4047.28,Home Care
C10268,2024-12-07,3,324.38,973.14,Snacks
C10208,2024-09-05,3,480.31,1440.93,Snacks
C10367,2024-12-21,7,824.74,5773.18,Grocery
C10354,2024-07-29,3,329.01,987.03,Grocery
C10176,2024-09-06,3,426.37,1279.1100000000001,Grocery
C10013,2024-09-10,5,750.94,3754.7000000000003,Snacks
C10090,2024-09-26,2,255.01,510.02,Personal Care
C10575,2024-11-28,2,845.37,1690.74,Grocery
C10250,2024-12-08,1,230.09,230.09,Grocery
C10289,2024-12-30,1,748.11,748.11,Home Care
C10280,2024-11-14,7,326.5,2285.5,Snacks
C10469,2024-11-09,4,1089.59,4358.36,Beverages
C10038,2024-10-15,2,773.98,1547.96,Grocery
C10049,2024-08-07,3,291.27,873.81,Personal Care
C10165,2024-12-24,2,359.45,718.9,Home Care
C10291,2024-12-11,1,385.67,385.67,Snacks
C10402,2024-08-31,4,543.77,2175.08,Beverages
C10294,2024-05-27,2,452.29,904.58,Personal Care
C10264,2024-10-10,3,628.81,1886.4299999999998,Grocery
C10562,2024-08-08,4,482.01,1928.04,Home Care
C10096,2024-10-13,1,369.21,369.21,Home Care
C10343,2024-12-01,2,419.5,839.0,Home Care
C10325,2024-12-20,6,1139.35,6836.099999999999,Home Care
C10284,2024-09-24,2,258.79,517.58,Beverages
C10484,2024-09-04,3,433.4,1300.1999999999998,Snacks
C10160,2024-07-20,2,568.5,1137.0,Snacks
C10572,2024-09-28,1,495.81,495.81,Personal Care
C10198,2024-09-07,2,306.82,613.64,Home Care
C10327,2024-09-17,1,267.33,267.33,Snacks
C10312,2024-07-19,1,382.22,382.22,Home Care
C10509,2024-11-12,5,943.12,4715.6,Personal Care
C10263,2024-12-27,8,1247.97,9983.76,Home Care
C10170,2024-05-07,3,413.24,1239.72,Beverages
C10012,2024-12-29,2,321.31,642.62,Grocery
C10218,2024-12-14,7,290.28,2031.9599999999998,Personal Care
C10495,2024-10-10,1,744.08,744.08,Grocery
C10005,2024-11-28,4,1403.53,5614.12,Snacks
C10537,2024-10-01,2,586.57,1173.14,Grocery
C10325,2024-10-23,4,529.31,2117.24,Personal Care
C10084,2024-08-10,4,607.91,2431.64,Grocery
C10181,2024-09-05,5,792.06,3960.2999999999997,Home Care
C10332,2024-11-12,5,558.74,2793.7,Home Care
C10189,2024-06-04,4,515.48,2061.92,Home Care
C10065,2024-12-08,3,440.36,1321.08,Snacks
C10399,2024-11-10,2,647.74,1295.48,Snacks
C10403,2024-11-01,3,499.63,1498.8899999999999,Snacks
C10071,2024-08-08,4,341.04,1364.16,Home Care
C10168,2024-12-01,5,562.87,2814.35,Grocery
C10146,2024-10-07,4,602.58,2410.32,Personal Care
C10395,2024-10-30,4,748.18,2992.72,Home Care
C10438,2024-09-21,5,956.14,4780.7,Personal Care
C10436,2024-12-07,5,787.49,3937.45,Grocery
C10563,2024-07-24,4,281.98,1127.92,Beverages
C10461,2024-10-23,4,557.93,2231.72,Beverages
C10192,2024-12-23,1,408.64,408.64,Snacks
C10064,2024-12-08,8,1135.67,9085.36,Personal Care
C10368,2024-09-22,3,697.7,2093.1000000000004,Home Care
C10549,2024-08-24,4,346.82,1387.28,Home Care
C10585,2024-10-20,3,396.45,1189.35,Beverages
C10138,2024-07-30,5,313.79,1568.95,Grocery
C10141,2024-10-17,4,526.0,2104.0,Home Care
C10022,2024-11-20,2,268.56,537.12,Grocery
C10084,2024-07-29,2,399.72,799.44,Beverages
C10332,2024-11-17,1,419.45,419.45,Snacks
C10328,2024-09-19,1,291.0,291.0,Home Care
C10222,2024-09-09,3,331.23,993.69,Home Care
C10185,2024-09-26,5,795.25,3976.25,Grocery
C10497,2024-12-02,2,278.04,556.08,Beverages
C10276,2024-12-15,2,703.12,1406.24,Personal Care
C10484,2024-08-27,2,314.46,628.92,Snacks
C10577,2024-11-29,3,613.39,1840.17,Home Care
C10190,2024-08-15,1,385.31,385.31,Beverages
C10121,2024-11-15,4,555.94,2223.76,Personal Care
C10571,2024-10-18,2,490.97,981.94,Snacks
C10380,2024-11-09,8,898.5,7188.0,Grocery
C10174,2024-11-22,1,684.82,684.82,Home Care
C10373,2024-09-25,1,535.69,535.69,Beverages
C10309,2024-09-11,2,345.89,691.78,Personal Care
C10543,2024-08-01,2,582.79,1165.58,Home Care
C10153,2024-10-20,3,375.83,1127.49,Grocery
C10594,2024-11-28,4,1134.08,4536.32,Grocery
C10561,2024-11-28,3,547.43,1642.29,Grocery
C10108,2024-11-10,2,289.45,578.9,Beverages
C10098,2024-10-30,3,835.07,2505.21,Grocery
C10319,2024-10-07,4,515.2,2060.8,Home Care
C10026,2024-12-04,2,296.93,593.86,Grocery
C10179,2024-10-30,2,596.06,1192.12,Snacks
C10261,2024-09-28,5,858.25,4291.25,Beverages
C10581,2024-11-17,8,572.12,4576.96,Home Care
C10595,2024-09-23,2,744.1,1488.2,Grocery
C10090,2024-09-18,2,493.42,986.84,Snacks
C10535,2024-07-16,4,353.98,1415.92,Personal Care
C10054,2024-10-15,4,737.54,2950.16,Beverages
C10449,2024-10-13,4,248.32,993.28,Personal Care
C10507,2024-09-20,3,632.92,1898.7599999999998,Grocery
C10534,2024-10-12,3,609.35,1828.0500000000002,Home Care
C10134,2024-12-04,5,415.98,2079.9,Beverages
C10536,2024-12-20,2,691.56,1383.12,Beverages
C10069,2024-10-05,3,217.89,653.67,Snacks
C10311,2024-07-15,3,179.83,539.49,Home Care
C10281,2024-07-13,1,399.07,399.07,Snacks
C10189,2024-10-06,2,723.72,1447.44,Snacks
C10013,2024-12-27,1,352.49,352.49,Beverages
C10463,2024-10-31,3,532.25,1596.75,Home Care
C10201,2024-10-11,2,326.38,652.76,Grocery
C10396,2024-09-15,4,692.19,2768.76,Grocery
C10246,2024-12-13,6,828.62,4971.72,Grocery
C10224,2024-10-09,1,332.33,332.33,Personal Care
C10531,2024-11-09,2,816.51,1633.02,Home Care
C10056,2024-12-16,5,936.81,4684.049999999999,Beverages
C10441,2024-07-27,1,274.23,274.23,Home Care
C10448,2024-12-13,2,339.16,678.32,Beverages
C10227,2024-07-09,1,421.2,421.2,Home Care
C10157,2024-11-13,6,1146.37,6878.219999999999,Beverages
C10003,2024-09-14,2,804.64,1609.28,Home Care
C10562,2024-11-29,4,776.77,3107.08,Beverages
C10568,2024-11-08,2,550.14,1100.28,Grocery
C10144,2024-06-19,3,541.35,1624.0500000000002,Personal Care
C10019,2024-10-04,4,622.45,2489.8,Home Care
C10073,2024-09-20,7,504.66,3532.6200000000003,Home Care
C10040,2024-12-09,5,361.24,1806.2,Home Care
C10498,2024-10-24,1,364.14,364.14,Personal Care
C10535,2024-11-14,4,1057.09,4228.36,Grocery
C10091,2024-07-08,4,711.56,2846.24,Personal Care
C10448,2024-12-26,4,690.35,2761.4,Snacks
C10107,2024-07-05,1,368.32,368.32,Snacks
C10220,2024-10-27,4,717.04,2868.16,Personal Care
C10359,2024-12-28,5,850.0,4250.0,Personal Care
C10431,2024-11-15,1,311.73,311.73,Beverages
C10524,2024-09-12,4,636.98,2547.92,Personal Care
C10026,2024-08-28,5,292.88,1464.4,Grocery
C10117,2024-11-22,3,302.27,906.81,Grocery
C10168,2024-08-07,3,504.89,1514.67,Beverages
C10186,2024-10-13,7,558.79,3911.5299999999997,Beverages
C10598,2024-09-15,6,434.4,2606.3999999999996,Home Care
C10466,2024-12-22,5,1356.58,6782.9,Snacks
C10192,2024-07-22,2,249.55,499.1,Personal Care
C10583,2024-08-12,2,391.86,783.72,Home Care
C10299,2024-12-29,4,229.43,917.72,Home Care
C10300,2024-11-05,3,600.91,1802.73,Home Care
C10260,2024-08-21,2,359.86,719.72,Snacks
C10086,2024-12-13,3,540.83,1622.4900000000002,Beverages
C10560,2024-06-30,3,423.44,1270.32,Grocery
C10008,2024-10-05,1,556.41,556.41,Personal Care
C10104,2024-08-16,2,466.95,933.9,Beverages
C10137,2024-08-12,7,494.31,3460.17,Home Care
C10167,2024-11-04,3,542.81,1628.4299999999998,Home Care
C10079,2024-12-18,7,1173.67,8215.69,Beverages
C10010,2024-09-30,3,480.23,1440.69,Grocery
C10406,2024-08-19,3,381.92,1145.76,Home Care
C10581,2024-09-08,1,438.2,438.2,Beverages
C10073,2024-12-11,2,440.51,881.02,Personal Care
C10177,2024-09-11,2,298.18,596.36,Snacks
C10303,2024-09-08,2,390.34,780.68,Beverages
C10556,2024-09-27,1,373.69,373.69,Home Care
C10416,2024-11-27,2,1217.02,2434.04,Beverages
C10459,2024-09-09,4,361.01,1444.04,Home Care
C10348,2024-08-19,2,306.0,612.0,Home Care
C10250,2024-08-02,3,530.71,1592.13,Personal Care
C10119,2024-11-15,2,348.95,697.9,Snacks
C10518,2024-05-24,2,474.92,949.84,Grocery
C10482,2024-09-28,3,944.41,2833.23,Grocery
C10015,2024-10-12,2,275.55,551.1,Grocery
C10429,2024-12-13,3,567.43,1702.29,Personal Care
C10050,2024-07-25,3,396.79,1190.3700000000001,Beverages
C10443,2024-08-07,3,244.13,732.39,Beverages
C10495,2024-11-11,3,503.08,1509.24,Home Care
C10078,2024-09-07,6,797.98,4787.88,Beverages
C10260,2024-10-18,2,850.87,1701.74,Personal Care
C10074,2024-10-24,3,431.54,1294.6200000000001,Personal Care
C10340,2024-07-18,3,375.23,1125.69,Snacks
C10556,2024-07-17,2,302.86,605.72,Home Care
C10048,2024-09-16,2,499.42,998.84,Beverages
C10238,2024-07-29,1,442.94,442.94,Snacks
C10583,2024-06-22,5,412.97,2064.8500000000004,Snacks
C10180,2024-11-18,8,734.21,5873.68,Beverages
C10079,2024-11-07,6,652.46,3914.76,Snacks
C10293,2024-09-13,2,530.21,1060.42,Grocery
C10305,2024-09-28,2,542.3,1084.6,Home Care
C10397,2024-11-26,5,587.38,2936.9,Grocery
C10188,2024-11-20,4,612.87,2451.48,Personal Care
C10573,2024-06-23,1,559.0,559.0,Personal Care
C10312,2024-11-11,3,525.49,1576.47,Beverages
C10171,2024-09-02,2,251.97,503.94,Grocery
C10576,2024-09-23,5,453.43,2267.15,Snacks
C10554,2024-12-21,4,542.0,2168.0,Grocery
C10299,2024-08-10,1,285.51,285.51,Snacks
C10014,2024-08-09,3,331.79,995.3700000000001,Home Care
C10358,2024-07-14,1,398.81,398.81,Beverages
C10333,2024-12-15,9,699.0,6291.0,Personal Care
C10088,2024-06-20,3,533.75,1601.25,Grocery
C10380,2024-10-22,1,789.68,789.68,Home Care
C10504,2024-09-24,4,303.66,1214.64,Snacks
C10063,2024-05-27,2,544.74,1089.48,Beverages
C10433,2024-11-22,1,550.91,550.91,Snacks
C10084,2024-12-13,3,322.51,967.53,Beverages
C10449,2024-08-04,1,612.48,612.48,Home Care
C10251,2024-09-30,4,778.46,3113.84,Personal Care
C10003,2024-11-21,4,1195.78,4783.12,Snacks
C10579,2024-05-20,5,532.03,2660.1499999999996,Home Care
C10099,2024-12-12,10,1025.35,10253.5,Home Care
C10357,2024-05-18,1,430.78,430.78,Personal Care
C10108,2024-12-17,7,1633.75,11436.25,Snacks
C10559,2024-12-13,2,896.61,1793.22,Snacks
C10442,2024-11-11,9,997.84,8980.56,Grocery
C10482,2024-12-02,2,793.57,1587.14,Home Care
C10259,2024-10-30,5,457.62,2288.1,Personal Care
C10280,2024-10-09,7,305.02,2135.14,Personal Care
C10380,2024-06-09,5,528.62,2643.1,Home Care
C10470,2024-07-21,5,538.61,2693.05,Beverages
C10508,2024-08-12,2,449.19,898.38,Home Care
C10010,2024-10-06,3,1003.26,3009.7799999999997,Beverages
C10398,2024-11-04,5,796.12,3980.6,Personal Care
C10065,2024-08-30,4,526.09,2104.36,Grocery
C10172,2024-09-16,3,655.42,1966.2599999999998,Personal Care
C10497,2024-10-07,2,368.15,736.3,Home Care
C10150,2024-10-11,5,761.26,3806.3,Personal Care
C10478,2024-04-27,1,499.21,499.21,Beverages
C10277,2024-10-07,4,351.34,1405.36,Snacks
C10139,2024-09-14,4,243.16,972.64,Beverages
C10200,2024-07-21,1,637.07,637.07,Home Care
C10318,2024-09-07,1,386.18,386.18,Home Care
C10459,2024-07-08,3,440.59,1321.77,Home Care
C10363,2024-11-10,2,204.5,409.0,Home Care
C10559,2024-11-04,1,679.23,679.23,Grocery
C10520,2024-10-28,1,614.85,614.85,Snacks
C10452,2024-11-25,3,751.49,2254.4700000000003,Beverages
C10361,2024-11-06,2,692.74,1385.48,Personal Care
C10173,2024-08-05,1,311.03,311.03,Snacks
C10247,2024-12-03,6,1079.35,6476.099999999999,Grocery
C10071,2024-07-26,2,302.06,604.12,Beverages
C10224,2024-06-14,3,676.91,2030.73,Snacks
C10555,2024-08-22,2,459.98,919.96,Beverages
C10255,2024-06-05,1,612.49,612.49,Home Care
C10068,2024-11-20,2,330.07,660.14,Home Care
C10391,2024-09-23,3,406.08,1218.24,Home Care
C10577,2024-12-11,3,676.01,2028.03,Snacks
C10520,2024-11-19,3,588.34,1765.02,Home Care
C10164,2024-12-05,1,743.61,743.61,Beverages
C10272,2024-10-15,3,723.4,2170.2,Home Care
C10318,2024-11-20,2,427.23,854.46,Grocery
C10148,2024-10-10,4,418.87,1675.48,Home Care
C10161,2024-09-14,6,655.27,3931.62,Beverages
